images,corr_ans,type
drill01b.jpg,Kitchen & utensil,1
leafblower01.jpg,Kitchen & utensil,1
jumpingjack.jpg,Kitchen & utensil,1
wheel01.jpg,Kitchen & utensil,1
hammer01.jpg,Kitchen & utensil,1
ladder.jpg,Kitchen & utensil,1
blender.jpg,Kitchen & utensil,1
measuringcup01.jpg,Kitchen & utensil,1
spatula03.jpg,Hand labour tool & accessory,0
jar02.jpg,Kitchen & utensil,1
cookingpot.jpg,Kitchen & utensil,1
toothpick02.jpg,Kitchen & utensil,1
grill.jpg,Kitchen & utensil,1
spoon01.jpg,Electronic device & accessory,0
teapot.jpg,Kitchen & utensil,1
drinkshaker.jpg,Outdoor activity & sport item,0
grater01a.jpg,Kitchen & utensil,1
towel01.jpg,Electronic device & accessory,0
bottlecap.jpg,Kitchen & utensil,1
pitcher02b.jpg,Outdoor activity & sport item,0
bastingbrush.jpg,Kitchen & utensil,1
whisk.jpg,Kitchen & utensil,1
spicerack.jpg,Kitchen & utensil,1
straw.jpg,Kitchen & utensil,1
toasteroven.jpg,Kitchen & utensil,1
pastaspoon.jpg,Kitchen & utensil,1
cutleryset.jpg,Kitchen & utensil,1
butterknife.jpg,Kitchen & utensil,1
funnel.jpg,Hand labour tool & accessory,0
thermos.jpg,Kitchen & utensil,1
espressomachine.jpg,Kitchen & utensil,1
paninigrill.jpg,Kitchen & utensil,1
microwave.jpg,Kitchen & utensil,1
jug.jpg,Electronic device & accessory,0
chocolatefonduedish.jpg,Kitchen & utensil,1
winerack.jpg,Outdoor activity & sport item,0
cowbell.jpg,Kitchen & utensil,1
waterbottle03.jpg,Electronic device & accessory,0
spatula04.jpg,Kitchen & utensil,1
electricmixer.jpg,Outdoor activity & sport item,0
kitchenscale01a.jpg,Kitchen & utensil,1
glass02a.jpg,Kitchen & utensil,1
kettle01.jpg,Kitchen & utensil,1
fryingpan02a.jpg,Kitchen & utensil,1
gymnasticring.jpg,Kitchen & utensil,1
outdoorheater.jpg,Kitchen & utensil,1
canoepaddle02.jpg,Kitchen & utensil,1
shinpad.jpg,Kitchen & utensil,1
barbecue03.jpg,Hand labour tool & accessory,0
weight01.jpg,Kitchen & utensil,1
parachute.jpg,Kitchen & utensil,1
diaperbag.jpg,Kitchen & utensil,1
baseball01a.jpg,Kitchen & utensil,1
exercisebike.jpg,Electronic device & accessory,0
waterbottleholder.jpg,Kitchen & utensil,1
poolnet.jpg,Outdoor activity & sport item,0
fishinghook03.jpg,Kitchen & utensil,1
birdie.jpg,Electronic device & accessory,0
hockeygoaliemask.jpg,Kitchen & utensil,1
skiboot01a.jpg,Outdoor activity & sport item,0
beachumbrella01.jpg,Kitchen & utensil,1
downhillski.jpg,Kitchen & utensil,1
skipole.jpg,Kitchen & utensil,1
snowboard.jpg,Kitchen & utensil,1
propanetank01.jpg,Kitchen & utensil,1
skihelmet01.jpg,Kitchen & utensil,1
racquetballracket.jpg,Kitchen & utensil,1
crosscountryski.jpg,Kitchen & utensil,1
footballhelmet.jpg,Hand labour tool & accessory,0
trampoline.jpg,Kitchen & utensil,1
punchingbag.jpg,Kitchen & utensil,1
umbrella04.jpg,Kitchen & utensil,1
basketballhoop01.jpg,Kitchen & utensil,1
kite.jpg,Electronic device & accessory,0
boatmotor.jpg,Kitchen & utensil,1
tent.jpg,Outdoor activity & sport item,0
swing.jpg,Kitchen & utensil,1
stroller.jpg,Electronic device & accessory,0
kneepad01c.jpg,Kitchen & utensil,1
frisbee.jpg,Outdoor activity & sport item,0
podium.jpg,Kitchen & utensil,1
basketball01.jpg,Kitchen & utensil,1
fuse.jpg,Kitchen & utensil,1
phonejack.jpg,Kitchen & utensil,1
laptop01a.jpg,Kitchen & utensil,1
coffeemachine.jpg,Kitchen & utensil,1
alarmsystem.jpg,Kitchen & utensil,1
halogenlightbulb.jpg,Kitchen & utensil,1
camera01a.jpg,Hand labour tool & accessory,0
usbcable01a.jpg,Kitchen & utensil,1
walkietalkie.jpg,Kitchen & utensil,1
usbkey.jpg,Kitchen & utensil,1
taperecorder.jpg,Kitchen & utensil,1
scanner.jpg,Electronic device & accessory,0
walkman.jpg,Kitchen & utensil,1
lightbulb01.jpg,Outdoor activity & sport item,0
soundmixer.jpg,Kitchen & utensil,1
gps.jpg,Electronic device & accessory,0
remotecontrol04.jpg,Kitchen & utensil,1
ceilingspeaker.jpg,Outdoor activity & sport item,0
fanblades.jpg,Kitchen & utensil,1
speaker04.jpg,Kitchen & utensil,1
videotape01b.jpg,Kitchen & utensil,1
ethernetcable02.jpg,Kitchen & utensil,1
printer02.jpg,Kitchen & utensil,1
ipad02.jpg,Kitchen & utensil,1
expansioncard.jpg,Kitchen & utensil,1
telephone01b.jpg,Kitchen & utensil,1
dvdplayer.jpg,Hand labour tool & accessory,0
vhstape.jpg,Kitchen & utensil,1
computermouse06.jpg,Kitchen & utensil,1
carantenna.jpg,Kitchen & utensil,1
webcam.jpg,Kitchen & utensil,1
clock01a.jpg,Electronic device & accessory,0
electricoutlet.jpg,Kitchen & utensil,1
slidetray.jpg,Outdoor activity & sport item,0
megaphone.jpg,Kitchen & utensil,1
audiocablesplitter.jpg,Electronic device & accessory,0
tripod01.jpg,Kitchen & utensil,1
filmnegative.jpg,Outdoor activity & sport item,0
dolly01.jpg,Kitchen & utensil,1
weedwacker.jpg,Kitchen & utensil,1
pitchfork.jpg,Kitchen & utensil,1
stepladder.jpg,Kitchen & utensil,1
snowshovel.jpg,Kitchen & utensil,1
stubbywrench01a.jpg,Kitchen & utensil,1
strainer01b.jpg,Kitchen & utensil,1
handmixer01d.jpg,Kitchen & utensil,1
freezer02.jpg,Hand labour tool & accessory,0
dishrack.jpg,Kitchen & utensil,1
hourglass.jpg,Kitchen & utensil,1
icebucket.jpg,Kitchen & utensil,1
cookiecutter.jpg,Kitchen & utensil,1
tupperware03a.jpg,Electronic device & accessory,0
pot01.jpg,Kitchen & utensil,1
nutcracker01.jpg,Outdoor activity & sport item,0
tableknife02.jpg,Kitchen & utensil,1
saladspinner.jpg,Electronic device & accessory,0
peppermill02b.jpg,Kitchen & utensil,1
bottleopener01.jpg,Outdoor activity & sport item,0
breadknife.jpg,Kitchen & utensil,1
travelmug.jpg,Kitchen & utensil,1
contactlens.jpg,Kitchen & utensil,1
muffintray01.jpg,Kitchen & utensil,1
wineglass01.jpg,Kitchen & utensil,1
tray.jpg,Kitchen & utensil,1
bowl01.jpg,Kitchen & utensil,1
flask.jpg,Kitchen & utensil,1
coffeepot03a.jpg,Hand labour tool & accessory,0
sippycup.jpg,Kitchen & utensil,1
tongs01b.jpg,Kitchen & utensil,1
peeler01.jpg,Kitchen & utensil,1
handblender.jpg,Kitchen & utensil,1
rollingpin01a.jpg,Electronic device & accessory,0
canister.jpg,Kitchen & utensil,1
bowl02a.jpg,Outdoor activity & sport item,0
fridge.jpg,Kitchen & utensil,1
cleaver01.jpg,Electronic device & accessory,0
ladle02a.jpg,Kitchen & utensil,1
toaster01.jpg,Outdoor activity & sport item,0
gasburner.jpg,Kitchen & utensil,1
cakeplatter.jpg,Kitchen & utensil,1
knife03.jpg,Kitchen & utensil,1
huntingknife.jpg,Kitchen & utensil,1
speedball.jpg,Kitchen & utensil,1
lifejacket.jpg,Kitchen & utensil,1
golfball.jpg,Kitchen & utensil,1
ellipticalmachine.jpg,Kitchen & utensil,1
reflector.jpg,Hand labour tool & accessory,0
golfbag.jpg,Kitchen & utensil,1
catchermask.jpg,Kitchen & utensil,1
boogieboard.jpg,Kitchen & utensil,1
tennisball01b.jpg,Kitchen & utensil,1
handgripper.jpg,Electronic device & accessory,0
hockeygoaliepad.jpg,Kitchen & utensil,1
backpack01a.jpg,Outdoor activity & sport item,0
exercisebench.jpg,Kitchen & utensil,1
football.jpg,Electronic device & accessory,0
fishingrod.jpg,Kitchen & utensil,1
punchingball.jpg,Outdoor activity & sport item,0
bicycle.jpg,Kitchen & utensil,1
volleyball.jpg,Kitchen & utensil,1
bikewheel.jpg,Kitchen & utensil,1
swimgoggles.jpg,Kitchen & utensil,1
toyhockeystick01.jpg,Kitchen & utensil,1
soccerball.jpg,Kitchen & utensil,1
skateboard.jpg,Kitchen & utensil,1
snowshoe.jpg,Kitchen & utensil,1
hose.jpg,Hand labour tool & accessory,0
surfboard.jpg,Kitchen & utensil,1
badmintonracket.jpg,Kitchen & utensil,1
tennisracket.jpg,Kitchen & utensil,1
exercisemachine.jpg,Kitchen & utensil,1
hockeygoalieglove.jpg,Electronic device & accessory,0
cooler01.jpg,Kitchen & utensil,1
rollerblade.jpg,Outdoor activity & sport item,0
bikehelmet.jpg,Kitchen & utensil,1
anchor.jpg,Electronic device & accessory,0
sportbag.jpg,Kitchen & utensil,1
hockeystick.jpg,Outdoor activity & sport item,0
charcoalbarbecue.jpg,Kitchen & utensil,1
baseballglove.jpg,Kitchen & utensil,1
spotlight.jpg,Kitchen & utensil,1
heatpump.jpg,Kitchen & utensil,1
lamp04a.jpg,Kitchen & utensil,1
videocamera01a.jpg,Kitchen & utensil,1
securitycamera.jpg,Kitchen & utensil,1
crocodileclips.jpg,Kitchen & utensil,1
antenna.jpg,Hand labour tool & accessory,0
cameracase01a.jpg,Kitchen & utensil,1
photocopier.jpg,Kitchen & utensil,1
microphone01.jpg,Kitchen & utensil,1
papershredder.jpg,Kitchen & utensil,1
alarmclock01.jpg,Electronic device & accessory,0
monitor.jpg,Kitchen & utensil,1
fluorescentlightbulb.jpg,Outdoor activity & sport item,0
extensioncord.jpg,Kitchen & utensil,1
battery02b.jpg,Electronic device & accessory,0
cd.jpg,Kitchen & utensil,1
djmixer02.jpg,Outdoor activity & sport item,0
airconditioner.jpg,Kitchen & utensil,1
fanheater.jpg,Kitchen & utensil,1
floppydisk02a.jpg,Kitchen & utensil,1
pda.jpg,Kitchen & utensil,1
lectern01.jpg,Kitchen & utensil,1
computerkeyboard02.jpg,Kitchen & utensil,1
studiolight.jpg,Kitchen & utensil,1
cellphone.jpg,Kitchen & utensil,1
powercable.jpg,Hand labour tool & accessory,0
wiicontroller.jpg,Kitchen & utensil,1
ipod.jpg,Kitchen & utensil,1
chandelier.jpg,Kitchen & utensil,1
cassettetape01a.jpg,Kitchen & utensil,1
desktopcomputer.jpg,Electronic device & accessory,0
carlighter02.jpg,Kitchen & utensil,1
atm.jpg,Outdoor activity & sport item,0
dvdcase.jpg,Kitchen & utensil,1
filmroll.jpg,Electronic device & accessory,0
nintendods.jpg,Kitchen & utensil,1
television.jpg,Outdoor activity & sport item,0
